round,client_name,partition_id,num_examples,train_loss,train_acc,train_f1
1,Factory_A,0,31058,7.841267506591976e-05,1.0,1.0
1,Factory_B,1,31058,5.149241769686341e-05,1.0,1.0
1,Factory_C,2,31058,7.837700832169503e-05,1.0,1.0
1,Factory_D,3,31056,6.103912892285734e-05,1.0,1.0
1,Factory_E,4,31056,6.502443284261972e-05,1.0,1.0
2,Factory_A,0,31058,1.2849916686263896e-08,1.0,1.0
2,Factory_B,1,31058,3.1267617828234506e-08,1.0,1.0
2,Factory_C,2,31058,1.0690578200467371e-08,1.0,1.0
2,Factory_D,3,31056,2.190721559713893e-08,1.0,1.0
2,Factory_E,4,31056,2.566355483679672e-08,1.0,1.0
3,Factory_A,0,31058,7.34209481406678e-12,1.0,1.0
3,Factory_B,1,31058,2.0411501655548392e-10,1.0,1.0
3,Factory_C,2,31058,4.5869634479611676e-11,1.0,1.0
3,Factory_D,3,31056,1.0009491846485474e-10,1.0,1.0
3,Factory_E,4,31056,1.1023796560039045e-06,1.0,1.0
4,Factory_A,0,31058,7.732213307132252e-12,1.0,1.0
4,Factory_B,1,31058,9.096330459701374e-12,1.0,1.0
4,Factory_C,2,31058,2.923723979933457e-12,1.0,1.0
4,Factory_D,3,31056,6.482078328956531e-12,1.0,1.0
4,Factory_E,4,31056,7.749268240986318e-12,1.0,1.0
5,Factory_A,0,31058,3.714582461067373e-12,1.0,1.0
5,Factory_B,1,31058,2.9352483985056743e-12,1.0,1.0
5,Factory_C,2,31058,6.284672082875961e-14,1.0,1.0
5,Factory_D,3,31056,3.693911565516572e-10,1.0,1.0
5,Factory_E,4,31056,7.664860066092238e-12,1.0,1.0
6,Factory_A,0,31058,1.0947032126271128e-12,1.0,1.0
6,Factory_B,1,31058,1.0323055344568788e-12,1.0,1.0
6,Factory_C,2,31058,1.5355780882964076e-12,1.0,1.0
6,Factory_D,3,31056,2.328000531064134e-13,1.0,1.0
6,Factory_E,4,31056,2.1881077678920224e-12,1.0,1.0
7,Factory_A,0,31058,1.4048462913807125e-12,1.0,1.0
7,Factory_B,1,31058,1.0118073913434333e-12,1.0,1.0
7,Factory_C,2,31058,8.313211230515094e-12,1.0,1.0
7,Factory_D,3,31056,8.47672734956284e-13,1.0,1.0
7,Factory_E,4,31056,6.453898288190374e-13,1.0,1.0
8,Factory_A,0,31058,1.1803471611573912e-12,1.0,1.0
8,Factory_B,1,31058,1.0862848164386318e-12,1.0,1.0
8,Factory_C,2,31058,1.2619994025492298e-12,1.0,1.0
8,Factory_D,3,31056,7.363718467455482e-13,1.0,1.0
8,Factory_E,4,31056,6.463112922454328e-13,1.0,1.0
9,Factory_A,0,31058,9.417189250626734e-13,1.0,1.0
9,Factory_B,1,31058,7.478411336372948e-13,1.0,1.0
9,Factory_C,2,31058,9.98146010289247e-13,1.0,1.0
9,Factory_D,3,31056,6.151922368876836e-14,1.0,1.0
9,Factory_E,4,31056,9.18546380450358e-13,1.0,1.0
10,Factory_A,0,31058,4.4213837777605514e-13,1.0,1.0
10,Factory_B,1,31058,2.3878266475207965e-08,1.0,1.0
10,Factory_C,2,31058,4.225958233523841e-13,1.0,1.0
10,Factory_D,3,31056,4.55421453587207e-13,1.0,1.0
10,Factory_E,4,31056,9.925867636498276e-13,1.0,1.0
