round,val_loss,val_acc,val_precision,val_recall,val_f1,val_roc_auc
0,0.6953784227371216,0.4998797932443803,0.0,0.0,0.0,0.49683763682621734
1,7.447922689607367e-05,1.0,1.0,1.0,1.0,1.0
2,1.0893004720458066e-08,1.0,1.0,1.0,1.0,1.0
3,2.109611096923203e-11,1.0,1.0,1.0,1.0,1.0
4,6.135341800578287e-12,1.0,1.0,1.0,1.0,1.0
5,1.213793063455093e-12,1.0,1.0,1.0,1.0,1.0
6,9.323229037752623e-13,1.0,1.0,1.0,1.0,1.0
7,1.3751219130400671e-12,1.0,1.0,1.0,1.0,1.0
8,9.291857647891755e-13,1.0,1.0,1.0,1.0,1.0
9,5.098668340829116e-13,1.0,1.0,1.0,1.0,1.0
10,1.3432625237813633e-12,1.0,1.0,1.0,1.0,1.0
