round,validation_loss,validation_accuracy,validation_f1
0,0.6895697712898254,0.5,0.0
1,0.6755226254463196,0.5,0.0
2,0.660768985748291,0.559322033898305,0.21212121212121213
3,0.6450154185295105,0.9957627118644068,0.9957446808510638
4,0.6259307861328125,0.9957627118644068,0.9957446808510638
5,0.6043867468833923,0.9957627118644068,0.9957446808510638
6,0.5809824466705322,0.9957627118644068,0.9957446808510638
7,0.5537986755371094,0.9957627118644068,0.9957446808510638
8,0.52208012342453,0.9957627118644068,0.9957446808510638
9,0.4878253638744354,0.9957627118644068,0.9957446808510638
10,0.4513990581035614,0.9957627118644068,0.9957446808510638
