round,client,num_examples,mean_train_loss
1,Factory_A,2216,0.26868869060320977
1,Factory_B,2216,0.27053634090759265
1,Factory_C,2216,0.26914205808286634
1,Factory_D,2216,0.2686722456655778
1,Factory_E,2215,0.26893248136910036
2,Factory_A,2216,0.23576588406889878
2,Factory_B,2216,0.2367796985304743
2,Factory_C,2216,0.23696174319255223
2,Factory_D,2216,0.23525076666140815
2,Factory_E,2215,0.23614366007779575
3,Factory_A,2216,0.18311996489010132
3,Factory_B,2216,0.18653545622791193
3,Factory_C,2216,0.186447088307422
3,Factory_D,2216,0.18343999742493303
3,Factory_E,2215,0.18429110620347425
4,Factory_A,2216,0.12203663680366231
4,Factory_B,2216,0.1260017895741583
4,Factory_C,2216,0.12712135980921102
4,Factory_D,2216,0.1220568777448649
4,Factory_E,2215,0.12199350821346247
5,Factory_A,2216,0.07353741806067715
5,Factory_B,2216,0.07759060333432488
5,Factory_C,2216,0.08062603510243797
5,Factory_D,2216,0.07478716509544463
5,Factory_E,2215,0.07536151029220015
6,Factory_A,2216,0.04826676055775545
6,Factory_B,2216,0.05227220592354609
6,Factory_C,2216,0.05777106239773091
6,Factory_D,2216,0.05178932537617236
6,Factory_E,2215,0.04876616409313329
7,Factory_A,2216,0.04059268571839866
7,Factory_B,2216,0.044365642525067396
7,Factory_C,2216,0.052039763987709896
7,Factory_D,2216,0.043645472544840525
7,Factory_E,2215,0.03964139039609287
8,Factory_A,2216,0.038776215939153834
8,Factory_B,2216,0.04040082974783027
8,Factory_C,2216,0.04341078635695179
8,Factory_D,2216,0.04108759113301654
8,Factory_E,2215,0.037845560340273865
9,Factory_A,2216,0.03703763249871533
9,Factory_B,2216,0.04039996298910909
9,Factory_C,2216,0.04389269723277875
9,Factory_D,2216,0.0394600633975616
9,Factory_E,2215,0.03582529654099898
10,Factory_A,2216,0.034558430098884804
10,Factory_B,2216,0.03720134353460172
10,Factory_C,2216,0.04545329941524065
10,Factory_D,2216,0.037786848365668785
10,Factory_E,2215,0.03508879082617991
