round,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_f1,validation_macro_f1,validation_fpr,validation_fnr
0,0.2810612642398479,0.2329401853411963,0.5006071805702217,0.09627791563275434,0.21498857362318288,0.05,0.9487856388595565
1,0.25875362669758767,0.8997472620050547,0.9371700105596621,0.9329577464788732,0.8671466528721579,0.0,0.12565997888067582
2,0.2204021018974502,0.8989048020219039,0.9350866772263288,0.9324324324324325,0.8658817680556812,0.004166666666666667,0.12565997888067582
3,0.16372117221907798,0.9330244313395114,0.9525816173882435,0.9563546527587153,0.9062316250218916,0.014583333333333334,0.08025343189017951
4,0.11280192197210265,0.9330244313395114,0.9525816173882435,0.9563546527587153,0.9062316250218916,0.014583333333333334,0.08025343189017951
5,0.08361334653403343,0.9330244313395114,0.9525816173882435,0.9563546527587153,0.9062316250218916,0.014583333333333334,0.08025343189017951
6,0.07472069571867644,0.9330244313395114,0.9525816173882435,0.9563546527587153,0.9062316250218916,0.014583333333333334,0.08025343189017951
7,0.06685059595584462,0.9330244313395114,0.9525816173882435,0.9563546527587153,0.9062316250218916,0.014583333333333334,0.08025343189017951
8,0.06675152679527681,0.9330244313395114,0.9525816173882435,0.9563546527587153,0.9062316250218916,0.014583333333333334,0.08025343189017951
9,0.06691148749666875,0.9330244313395114,0.9525816173882435,0.9563546527587153,0.9062316250218916,0.014583333333333334,0.08025343189017951
10,0.06580252625561425,0.934709351305813,0.9567482840549102,0.957405880736466,0.908820163091407,0.00625,0.08025343189017951
