client_id,round,training_ms,update_bytes,local_loss,local_macro_f1_in_sample
uav-client-4,1,1049.558,47851,0.02237027475392592,0.9874906143607993
uav-client-1,1,1373.628,47829,0.15308703591183917,0.9341442085175606
uav-client-2,1,1819.512,47884,0.0956894567603135,0.9582911742569619
uav-client-5,1,2203.122,47860,0.15230109220581572,0.9337763850668872
uav-client-3,1,2588.321,47865,0.02309062633215877,0.9977099857794378
uav-client-2,2,101.53,47878,0.09885308683545366,0.9587321783472158
uav-client-4,2,92.841,47836,0.023982361853618926,0.9862538993625389
uav-client-1,2,72.604,47865,0.14866408367709416,0.9430888290179551
uav-client-5,2,73.049,47868,0.1464949206016851,0.9441750783507672
uav-client-3,2,34.068,47873,0.023890657860993734,0.9977099857794378
uav-client-4,3,165.873,47845,0.020163503965729555,0.9861316365626711
uav-client-2,3,66.71,47875,0.10063819507453911,0.9600741237817905
uav-client-1,3,72.092,47877,0.14631166080149208,0.9528174603174604
uav-client-5,3,91.699,47866,0.14763013880693932,0.9473650738735806
uav-client-3,3,33.896,47876,0.0203007358896929,0.9977099857794378
